问题,选项1,选项2,选项3,选项4,答案
以下哪个句子使用了比喻修辞手法？,坚持融入日常学，坚持联系实际学，坚持上下联动学。,笋芽儿揉了揉眼睛，伸了伸懒腰。,那个飘逸的舞者在舞台上如同一片翩然起舞的树叶，在空中自由飞舞，散发出纯粹美丽的光芒。,可恶的乌鸦在天空中不停的炫耀他那难听的歌声。,C
以下哪个句子使用了反问修辞手法？,三言两语怎么能够表达我们之间的深情厚谊呢？,晚上你要和我一起去看电影吗？,什么时候彩虹会出现呢？,小明的家离学校近吗？,A
以下哪个句子使用了拟人修辞手法？,也许你无法拥有深邃的蓝天，但是你可以做飘逸的白云，也许你无法拥有浩瀚的大海，但是你可以做清幽的小溪，也许你无法拥有辽阔的草原，但是你可以做执着的绿洲。只要你满怀信心，你就会感受到生命的意义。,脑子特别清醒，眼睛特别明亮，立场特别坚定。,远看长城它像一条长龙，在崇山峻岭之间蜿蜒盘旋。,大树脱下破旧的外衣，又开始新的生活，它贪婪地吮吸着春天那清新、甜润的露珠儿，慢慢地长出逗人喜爱的嫩枝绿叶。,D
以下哪个句子使用了排比修辞手法？,波涛汹涌的大海，像个无畏的勇士，不断地向岸边挑战。,火红的枫叶好像火花一样纷繁地飘落上来。,秋来菊花盛开，各种颜色的菊花就像是身穿各色衣服的美丽少女，璀璨夺目。,重大战略思想，重大理论观点，重大决策部署。,D
以下哪个句子使用了排比修辞手法？,领会掌握基本精神，基本内容，基本要求，做到学而信，学而思，学而行。,这个目标像一道耀眼的曙光，指引着我们前进的方向和动力。,一群大象投入地翩翩起舞，为人们表演,夜空中的星星点缀着银河，它们如同宇宙中的明灯，在黑暗中闪烁，给予人们无尽的遐想与希望。,A
以下哪个句子使用了反问修辞手法？,为什么太阳会东升西落呢？,这是你的还是他的？,明天天就是母亲节了，你打算买什么送给妈妈？,我浓妆难道不比淡妆好看吗？,D
以下哪个句子使用了反问修辞手法？,为什么冬天会下雪呢？,天上哪会掉馅饼呢？,今天是星期六吗？,你今年五岁了吗？,B
以下哪个句子使用了比喻修辞手法？,剥完玉米皮，一个金灿灿的玉米就露出了脸，玉米粒金黄金黄的，像一颗颗小珍珠。,高山不屑一顾的俯视着大地。,给我一次艰难，让我懂得战胜，给我一次挫折，让我饱尝锻炼，给我一次失利，让我学会检讨，给我一次耻辱，让我学会振奋，我多谢每一次带我走向成功的阅历。,船头飞溅起的浪花，吟唱着欢乐的歌儿。,A
以下哪个句子使用了反问修辞手法？,你可以先借我一些钱吗？,怎么会有人不喜欢周杰伦呢？,这个是我们的计划，你看看合不合理？,这个小女孩的皮肤还白，她是怎么保养的？,B
以下哪个句子使用了排比修辞手法？,可恶的乌鸦在天空中不停的炫耀他那难听的歌声。,那是张骞西行的驼铃阵阵，那是苏武牧羊的忠洁刚烈，是卫青迎向大漠的旌旗猎猎，雄心勃勃。,雨丝落在湖面上，如同天空的泪珠轻轻涟漪。,月亮悄悄地爬上了树梢，轻轻地为大地披上了一层银色的面纱。,B
以下哪个句子使用了比喻修辞手法？,冬爷爷又来到了大山上。当他看到那灰蒙蒙的山群，心情特别不好。冬爷爷灵机一动，从他的雪口袋中抓了一把雪，撒向大山。,“留得残荷听雨声”是一种宽容的潇洒，“一日看尽长安花”是一种得意的潇洒，“醉卧沙场君莫笑”是一种豪迈的潇洒。,她的微笑如同春天绽放的花朵，带给人们无尽的快乐和温暖。,蜡烛上的火光欢快地舞蹈着。,C
以下哪个句子使用了拟人修辞手法？,秋姑娘挥一挥她的魔法棒，把茄子变紫了。,坚持读原著，学原文，悟原理，联系实际学，带着问题学，不断跟进学，领会掌握基本精神，基本内容，基本要求，做到学而信，学而思，学而行。,池塘里的荷叶在微风中摇动着，像翩翩起舞的舞女一般，轻盈而美丽。,我端起碗，觉得碗有千斤重，怎么也送不到嘴边。,A
以下哪个句子使用了比喻修辞手法？,文具盒里的文具都生气的睡觉了,巨浪伸出双臂把我猛地托起。,有实践依据，有理论分析，有具体举措。,这个宇宙像一座无边的海洋，未知而神秘，让人探索不尽。,D
以下哪个句子使用了反问修辞手法？,我们的国货的制作水平已经很不错了，为什么还是有很多人争着买海外产品？,面对这一派大好形势，我们能无动于衷吗？,你说你已经把所有的知识点背的通透，那你可以写出它的内容吗？,你来取呢，还是我送去？,B
以下哪个句子使用了排比修辞手法？,水是野的，一会儿撅着屁股，赌着气又自个儿闹去了。,海面上闪烁着一串一串五彩缤纷的光圈，就像我在家用肥皂沫沫吹的小泡泡。,自私是一面镜子，镜子里永远只看得到自己。,猫，没有谁比她神秘，没有谁比她妖娆，没有谁比她更加难以琢磨。,D
以下哪个句子使用了比喻修辞手法？,我和妹妹一起跑入雨中，欢呼春雨姑娘的到来。,春天就像出生的婴儿，娇小可爱。,美丽是平凡的，平凡得让你感觉不到她的存在，美丽是平淡的，平淡得只剩下温馨的回忆，美丽又是平静的，平静得只有你费尽心思才能激起她的涟漪。,给我一次艰难，让我懂得战胜，给我一次挫折，让我饱尝锻炼，给我一次失利，让我学会检讨，给我一次耻辱，让我学会振奋，我多谢每一次带我走向成功的阅历。,B
以下哪个句子使用了排比修辞手法？,每条岭都是那么的温柔，虽然下自山脚，上至岭顶，长满了珍贵的林木，可是谁也不孤峰突起，盛气凌人。,生命，像大海一般的深邃，像山峰一样的挺拔，像笛声一样的悠扬。,时间是一件压在衣柜底儿的旧衣裳，当时是那样的不喜欢，后来再翻出来时居然就会变为爱宝,父爱是广阔的大陆，即使在我一事无成的时刻，也会容纳我，把我纳入他温暖的胸膛。,B
以下哪个句子使用了拟人修辞手法？,秋天又迈着沉稳的脚步款款地向我们走来，悄无声息地走开。,他的决心像一堵坚实的墙，无论如何都不会倒塌。,幸福是“零落成泥碾作尘，只有香如故”的圣洁。幸福是“壮志饥餐胡虏肉，笑谈渴饮匈奴血”的豪壮。幸福是“先天下之忧而忧，后天下之乐而乐”的胸怀。幸福是“人生自古谁无死，留取丹心照汗青”的气节。,转观念，转职能，转方式，转作风。,A
以下哪个句子使用了反问修辞手法？,你什么时候买平板的？,你怎么可以不相信我？,听说你每天早上都起来跑步，我可以跟你一起去跑步吗？,这道题实在太难了，我要用什么思路来解决它？,B
以下哪个句子使用了排比修辞手法？,那只笔像是一把魔杖，让我能够创造出无限的奇迹。,内容上划分类别，时间上划分阶段，人员上区分层次。,秋天的黄叶，徒留一声叹息，飘落在地上。,大海变强壮了，他生气了，他伸出巨手把海潮推往岸上。,B
以下哪个句子使用了比喻修辞手法？,耐心像蜗牛，缓慢而坚定地前行。,改革政策坚决贯彻，改革纪律坚决执行，改革规矩坚决遵守，改革举措坚决落实。,让每个动作实起来，让每个细胞活起来，让每个单位动起来。,春天到了，桃花露出了迷人的笑容,A
以下哪个句子使用了排比修辞手法？,油蛉在那里低唱，蟋蟋们在那里弹琴，他们组成了大自然的交响乐团。,这个城市的夜晚闪烁着无数的灯光，宛如一颗耀眼的明星。,树木在寒风中摇曳，像是在跳着和谐的舞蹈，展示着他们的坚韧和力量。,在提高认识以上率下上下真功，在求真求实立行立改上见真效，在创新驱动提质增效上求突破。,D
以下哪个句子使用了排比修辞手法？,生活是一杯酒，散发着迷人的醇香，我们都沉醉在这醉人的酒香中。,太阳红了脸，穿着晨光织成的锦缎，从地平线下慢慢升起。她向世界所有人微笑并慷慨地送出温暖和光明。,在饱尝了失利和波折后，我学会了坚韧，在遭受到误解和冤枉时，我学会了宽恕，在经历了丢失和离别后，我懂得了爱惜。,春天是个害羞的小姑娘，遮遮掩掩，躲躲藏藏，扭捏地朝着我们走来。,C
以下哪个句子使用了反问修辞手法？,你们怎能破坏环境呢？,当我来到学校的时候，发现教室里没有一个同学，我在想：今天是周末吗？,只要观看这部电影的人，手里都会拽着的一大把的湿纸巾，是因为这部电影太伤感了还是太感动了。,最近来学校都看不到小明，他是去干什么了？,A
以下哪个句子使用了反问修辞手法？,我们怎么能忘记老师的谆谆教导？,你在干什么？,今天天气预报说会下雨吗？,他今天在家吗？,A
以下哪个句子使用了排比修辞手法？,桃树杏树梨树，你不让我，我不让你，都开满了花赶趟儿,在“学”上下真功，在“做”上动真格，在“改”上出实招，在“促”上求实效。,池塘里的荷叶在微风中摇动着，像翩翩起舞的舞女一般，轻盈而美丽。,秋天迈着沉稳的脚步缓缓地向我们走来，又悄无声息地走开。,B
以下哪个句子使用了反问修辞手法？,下雨后会有蘑菇长出来吗？,你晚上有空吗？,今天是星期六吗？,实现四个现代化，难道不是全国人民的伟大历史任务吗？,D
以下哪个句子使用了反问修辞手法？,你看见小美去哪了吗？,你怎么能不相信我呢？,你今天上学吗？,你们家有几口人啊？,B
以下哪个句子使用了比喻修辞手法？,这个想法像一只飞翔的鸟儿，自由自在，不受束缚。,有实践依据，有理论分析，有具体举措。,诚信是小朋友将拾到的一分钱放在警察叔叔手里时脸上的笑容，是少先队员宣誓时眼中的闪光。诚信是焦裕禄推开乡亲柴门送去的那一阵春风，它是孔繁森将藏族老妈妈冻伤的双脚捂进怀中的深情。诚信是开国领袖面对新中国第一缕曙光作出的“中国人民从此站起来了”的召唤。诚信是继往开来的领路人俯瞰西部作出的“中国要实现伟大复兴”的决定。,蜡炬成灰泪始干。,A
以下哪个句子使用了排比修辞手法？,瓷盘里摆着一个个水灵灵的苹果，像一盏盏小红灯笼似的，让人看了不由得想咬一大口。,在远山连绵的背景下，月亮如同一块洁白的玉石，悬挂在夜幕的帷幕上，静静地注视着世间的一切。,长期以来，它适应了晚上九点左右的温度和湿度，到了那时，便悄悄绽开淡雅的花蕾，向人们展示美丽的笑脸。,时间好像一把尺子，它能衡量奋斗者前进的进程。时间如同一架天平，它能称量奋斗者成果的重量。时间就像一把皮鞭，它能鞭策我们追赶人生的目标。,D
以下哪个句子使用了比喻修辞手法？,朋友不会讥讽你的微笑，朋友不会欺骗你的情感，朋友不会打乱你的节拍，朋友不会纵容你的过错。,她的眼睛像是一汪碧蓝的湖水，清澈而深邃，让人感受到一种无尽的宁静和温暖。,太阳无语，却放射出光辉，高山无语，却体现出巍峨，大地无语，却展示出广博。青春无语，却焕发出活力，鲜花无语，却散发出芬芳，春雨无语，却滋润着大地。,我和妹妹一起跑入雨中，欢呼春雨姑娘的到来。,B
以下哪个句子使用了反问修辞手法？,能不能给我一些例子？,作为一个成年人，你难道不该对自己负责吗？,今天真的会下雨吗？,明天9：30你能赶到吗？,B
以下哪个句子使用了拟人修辞手法？,水是野的，小溪撅着屁股，赌着气又自个儿闹去了。,这个梦想像一束耀眼的光芒，指引着前进的方向，让人不畏困难。,选择博爱，就是选择对情感的珍视。选择博爱，就是选择对万物的眷恋。选择博爱，就是选择高远的人生志向。,晨曦破晓之际，太阳像一颗温暖的葡萄，轻轻地挤出一滴滴光明的果汁，洒向大地。,A
以下哪个句子使用了比喻修辞手法？,柳树那婀娜的舞姿，是那么美，那么自然。,让倾听的过程成为享受，让倾听的过程在我们心中沉浸，让倾听成为人与人之间的纽带。,夜空中的星星如同点缀在黑天幕布上的精灵之泪，闪烁着遥远而神秘的光芒。,骄阳下，小草无精打采地垂着手，低着头，无声地叹息着。,C
以下哪个句子使用了拟人修辞手法？,一匹匹马像离弦的剑一样的向前方冲去。,美丽的彩虹就像一座七彩的桥一样高挂在雨后的天空。,阳光下盛开的百合花就是您的笑容。,田里的青蛙愉快地唱着歌。,D
以下哪个句子使用了比喻修辞手法？,春天像个活泼的小姑娘，用她那绚烂的色彩，为大地穿上了新的衣裳。,关爱是一个眼神，给学生无声的祝福，关爱是一缕青风，给学生身心的舒畅，关爱是一场春雨，给学生心田的滋润，关爱是一句问侯，给学生春天的温暖。,月光洒在湖面，如银河倾泻而下，泛起层层涟漪，宛如诗人笔下的梦境。,翠绿欲滴的椰子从叶间探出了头。,C
以下哪个句子使用了拟人修辞手法？,深化学的效果，把准改的重点，提振做的状态，树牢查的威信。思想紧起来，标准严起来，措施实起来。,生活是一杯酒，散发着迷人的醇香。,月亮像是一颗孤独的珍珠，挂在黑夜的帷幕上，散发出宁静而神秘的光芒。,秋天迈着沉稳的脚步缓缓地向我们走来，只有凋落的枫叶见证了她的到来。,D
以下哪个句子使用了拟人修辞手法？,钱能买漂亮的眼镜，但买不来明亮的眼睛，钱能买高档的钢笔，但买不来敏捷的文思，钱能买来芬芳的玫瑰，但买不来真正的爱情。,这红色的晚霞像仙女的衣服一样美丽。,如果说，世界上还有哪一种爱是无私的话，那就是母亲对于子女的爱，如果说，世界上还有哪一种爱可以让我们泪流满面，那也只有母亲对儿女的爱，如果说世界上还有哪一种爱可以让我们放弃一切，那也只有母亲对儿女的爱。,雨后，鱼儿在水面上翻着跟头。,D
以下哪个句子使用了比喻修辞手法？,“留得残荷听雨声”是一种宽容的潇洒，“一日看尽长安花”是一种得意的潇洒，“醉卧沙场君莫笑”是一种豪迈的潇洒。,柳树那婀娜的舞姿，是那么美，那么自然。,喧闹的城市是繁华的美，宁静的村庄是淡雅的美。,爱心是一瓢纷洒在春天的小雨，使落寞孤寂的人享受心灵的滋润。,D
以下哪个句子使用了比喻修辞手法？,若无每日闻鸡起舞坚持不懈的毅力，那么祖逖又怎能北伐中原而名垂千古，若无长年笔走龙蛇墨染池水的工夫，那么王羲之又怎能挥毫盖世被尊为书圣，若无半生钻研演算草稿盈筐的血汗，那么陈景润又怎能摘取明珠享誉世界。,月明人静的夜里，它们便唱起歌来，织，织，织，织呀。织，织，织，织呀。那歌声真好听。赛过催眠曲。,夏季将大地烤的像一个大蒸笼。,我们感恩生活给了我们色彩，我们感恩社会给了我们舞台，我们感恩所有帮助我们的人，是他们让我们懂得了社会的温暖，人间的真情。,C
以下哪个句子使用了比喻修辞手法？,您的画像是勇敢和坚韧的象征，您的关怀，让我们感受到长辈的慈爱，您的鼓励，让我们扬起了奋斗的风帆。,春是树上的枝条随风摇曳，春是山涧的小溪叮冬流淌，春是天空的小鸟欢快歌唱。,这个世界像一片繁花似锦的花园，美好而多彩，值得我们去探索和欣赏。,因为有了追求，在风雨中，我们慢慢变强，因为有了追求，在磨砺中，我们渐渐成长，因为有了追求，在呼啸中，我们拥有希望，因为有了追求，在黑暗中，我们拥有光芒。,C
以下哪个句子使用了反问修辞手法？,中国是世界上人口最多的国家吗？,母爱是什么？,从不同的角度看，不就能看到不同的形状了吗？,你们路过那边的小巷子的时候，有没有看见树上是什么东西挂在上面？,C
以下哪个句子使用了排比修辞手法？,人们爱秋天，爱她的硕果累累。人们爱春天，爱她的万紫千红。人们都爱夏天，爱她的艳阳高照。人们都爱冬天，爱她的白雪皑皑。,山峦若黛，宛如披着绿色绸缎的仙女，它们恬静地伫立在天地之间，让人感受到深深的宁静与安详。,天上的星星像宝石般晶莹，一闪一闪地闪耀着迷人的光芒。,晨光如一抹淡淡的微笑，拂过大地，唤醒了沉睡的花儿，将世界染上一层金色的温暖。,A
以下哪个句子使用了拟人修辞手法？,静寂笼罩着这座水上城市，古老的威尼斯又沉沉地入睡了。,脑子特别清醒，眼睛特别明亮，立场特别坚定。,牢记初心使命要有热爱之心，牢记初心使命要有坚定信心，牢记初心使命要有强大决心，牢记初心使命要有不变恒心。,天上的星星像宝石般晶莹。,A
以下哪个句子使用了反问修辞手法？,太阳快要落山了，你什么时候回家？,今天你背的背包跟你的衣服很搭，这个包包你是在哪里买的？,难道我没有努力过吗？,叔叔，我看到你津津有味地阅读这本书，你认为是什么吸引你了？,C
以下哪个句子使用了比喻修辞手法？,春天戴着花冠，披着绿裳，踏着彩霞，兴致勃勃地到来了。,月亮像一轮玉盘嵌在蓝色的夜幕中。,花儿在阳光下微笑，像是向世界展示着它们的美丽和活力。,我们难道要浪费时间吗？,B
以下哪个句子使用了排比修辞手法？,阵痛之中保持坚忍，震荡之中保持定力，得失纠结之中保持豁达。,风儿轻舞，草原仿佛一片起伏的海洋，泛着绿色的波涛，迎着夕阳的绚烂余晖。,月明人静的夜里，它们便唱起歌来，织，织，织，织呀。织，织，织，织呀。那歌声真好听。赛过催眠曲。,春风像个慈祥的母亲，拂着你的脸颊，使你感到舒畅，心旷神怡。,A
以下哪个句子使用了反问修辞手法？,看完这部小说，有人捧腹大笑，有的哭得梨花带雨，为什么你却什么反应也没有？,明天我们打算去爬泰山，但是我们要几点去呀？,世间的万物都有各自的规律，那么我们在成长的过程中需要遵循什么规律呢？,你对得起我吗？,D
以下哪个句子使用了排比修辞手法？,绿油油的草被风吹弯了腰，在草地上摇摇摆摆，好似在跳舞。,月色如水，洒在静谧的湖面上，犹如一层银纱轻轻覆盖。,青春啊，你犹如那火红的太阳般璀璨，令我陶醉在其中，你犹如那清晨的山间景色般灵秀，令我如痴如醉，你犹如那清凉可口的山泉般铭心，让我精神抖擞。,松树一年四季总是那么绿，远远望去，像一位英俊的少年眺望着远方，俯视着大地上日新月异的变化。,C
以下哪个句子使用了排比修辞手法？,柳树在微风的拂动下跳起了舞蹈，那婀娜的舞姿，是那么美，那么自然，令人迷醉。,爱心是一瓢纷洒在春天的小雨，使落寞孤寂的人享受心灵的滋润，同时也让献出爱心的人收获快乐与幸福。,美丽是平凡的，平凡得让你感觉不到她的存在，美丽是平淡的，平淡得只剩下温馨的回忆，美丽又是平静的，平静得只有你费尽心思才能激起她的涟漪。,她脸上洋溢着兴奋的光芒，就像山坡上绽开的山丹丹花一样，让人一看就满心欢喜。,C
以下哪个句子使用了比喻修辞手法？,黄昏时分，夕阳的余晖如同一幅抹了金边的水彩画，温柔地洒在大地上。,唯有不忘初心，方可告慰历史、告慰先辈，唯有不忘初心，方可赢得民心、赢得时代，唯有不忘初心，方可善作善成、一往无前。,天空中的星星眼睛一眨一眨的。,晚上，树叶沙沙低语，像老奶奶唱的催眠曲，使我很快进入香甜的梦乡。,A
以下哪个句子使用了排比修辞手法？,小溪是勇敢的，它不畏高山峻岭的阻隔，大树是坚强的，它不畏狂风暴雨的打击，灯塔是无畏的，它不怕无边黑暗的包围，永放光芒。,他的步伐像矫健的豹子，充满力量和速度，让人望而生畏。,落叶随风高低起舞，一会向上飘，一会向下落，不断在空中盘旋起舞，美丽极了。,雪花纷纷落下，宛如悄悄地散发着纯洁的诗意，覆盖了整个世界。,A
以下哪个句子使用了排比修辞手法？,对照党章党规学，对照系列讲话学，对照先进典型学。,雨滴跳跃在窗户上，像是在唱着一首欢快的歌曲，提醒人们它们的存在。,雨后的花朵如同珍珠般晶莹剔透，它们散发着芬芳的香气，仿佛是大自然赋予大地的魔法瑰宝。,晚霞，早早爬过山头，挂在中天，那月光似乎带着一股清凉，驱赶着酷日留下的余热。,A
以下哪个句子使用了排比修辞手法？,山坡上，大路边，村子口，榛树叶子全都红了，红得像一团团火，把人们的心也给燃烧起来了。,让我们用沸腾的血液来跳这欢乐的舞，用那激情的舞步来装饰这个舞台，用那旺盛的精力来踏亮这脚下的光环。,晚上，树叶沙沙低语，像老奶奶唱的催眠曲，使我很快进入香甜的梦乡,向日葵开着一轮金色的大花，花瓣上含着亮晶晶的银色露珠。,B
以下哪个句子使用了反问修辞手法？,你见过被压在石块下的小草吗？,你的爱好是什么？,你怎么知道的？,好一派风光，难道这都不能被称为美景吗？,D
以下哪个句子使用了排比修辞手法？,山坡上，大路边，村子口，榛树叶子全都红了，红得像一团团火，把人们的心也给燃烧起来了。,前身昂扬，两翼舒展，恰似一头上古鹰鹫盘旋于黛蓝长空之上。,春天轻轻的走来了，到处充满了温暖。,朋友不会讥讽你的微笑，朋友不会欺骗你的情感，朋友不会打乱你的节拍，朋友不会纵容你的过错。,D
以下哪个句子使用了比喻修辞手法？,冬爷爷又来到了大山上。当他看到那灰蒙蒙的山群，心情特别不好。冬爷爷灵机一动，从他的雪口袋中抓了一把雪，撒向大山。,荷花真美啊，美的吸引来许多中外游客，荷花真香啊，香的引来许多蜜蜂和蝴蝶，荷花真多啊，多得让人眼花缭乱。,我渴望春天，因为它是我们冲破冬天的战利品，我渴望春天，因为它是一个充满美好的季节，我渴望春天，因为在那里我们会找到更高的梦想。,谎言是一只心灵的蛀虫，将人的心蛀得面目全非。,D
以下哪个句子使用了比喻修辞手法？,以法为绳量长裁短，以法为规布政施策，以法为矩奖功惩过。,当水鸟站在它腰上唱歌时，流水也唱和着，发出悦耳的声音。,在饱尝了失利和波折后，我学会了坚韧，在遭受到误解和冤枉时，我学会了宽恕，在经历了丢失和离别后，我懂得了爱惜。,情感如花，盛开在心间，绽放出芬芳的馨香，让人陶醉其中。,D
以下哪个句子使用了拟人修辞手法？,他的步伐像矫健的豹子，充满力量和速度，让人望而生畏。,把学习教育成果转化为投身高水平全面建成小康社会的实际行动，转化为深化各项改革的强大动力，转化为本单位建设的有力举措。,学习自我推动，方法自我设计，问题自我化解。,溪水唱着歌，欢快地向前奔跑,D
以下哪个句子使用了比喻修辞手法？,在大事大非问题上不糊涂，做明白人，在体制转换关口上不迷茫，干明白事，在作风形象考验上不丢分，交明白账。,有些课目训了，不代表训精了，有些内容练了，不代表练实了，有的训练时间够了，不代表训强了。,巨浪伸出双臂把我猛地托起。,满月如瓷，如水中悬浮的明珠，洒下银辉，照亮了黑夜的边界。,D
以下哪个句子使用了拟人修辞手法？,风儿轻轻地吹过，树叶沙沙作响，仿佛在低语着什么。,“留得残荷听雨声”是一种宽容的潇洒，“一日看尽长安花”是一种得意的潇洒，“醉卧沙场君莫笑”是一种豪迈的潇洒。,父爱是广阔的大陆，即使在我一事无成的时刻，也会容纳我，把我纳入他温暖的胸膛。,黄昏时分，夕阳渐渐落下，如同一颗褪去光芒的珍珠，轻轻沉入地平线。,A
以下哪个句子使用了排比修辞手法？,那位艺术家的笔触如同一汪清泉，在画布上荡漾出迷人的艳丽色彩，勾勒出大自然的奇妙和生机。,树叶在风中哗啦啦地唱着动听的歌曲，诉说着自己的快乐。,他的忍耐力像是一座坚固的堡垒，任何困难都无法动摇他的决心。,哪里有艰难，哪里就有公民的戎行；哪里有风险，哪里就有迷彩的身影；哪里有艰苦，哪里就有子弟兵的劳动。,D
以下哪个句子使用了比喻修辞手法？,没有父母，就不会有我们自己，没有亲朋师长，就感受不到人间的真情。,睡莲揉着朦胧的眼睛，仔细的打探着这个世界。,瓷盘里摆着一个个水灵灵的苹果，像一盏盏小红灯笼似的。,高山不屑一顾的俯视着大地。,C
以下哪个句子使用了拟人修辞手法？,选择博爱，就是选择对情感的珍视，选择博爱，就是选择对万物的眷恋，选择博爱，就是选择高远的人生志向。,她的眼神如同一把利剑，能一眼看穿人心的虚伪和欺骗。,小草探出了头感叹道：哇，原来外面的世界如此奇妙！,她的微笑如同春天绽放的花朵，带给人们无尽的快乐和温暖。,C
以下哪个句子使用了排比修辞手法？,黄昏悄悄的走来，黑暗慢慢的笼罩了村庄。,她的善良像一束光芒，照亮了周围的一切，让人们感受到爱和关怀。,我们感恩生活给了我们色彩，我们感恩社会给了我们舞台，我们感恩帮助我们的人给了我们社会的温暖。,孤山东边的白堤和西南的苏堤，就像两条绿色的绸带，轻柔地飘浮在碧水之上。,C
以下哪个句子使用了反问修辞手法？,数学真的很难吗？,还有什么话比这句最简单的话更能表达我此时的全部情感呢？,下雨后会有蘑菇长出来吗？,你确定这样做对吗？,B
以下哪个句子使用了比喻修辞手法？,向日葵不断地面向太阳公公做运动。,月亮悄悄地爬上了树梢，轻轻地为大地披上了一层银色的面纱。,“举酒邀明月”是一种孤寂的潇洒，“仰天大笑出门去”是一种自信的潇洒，“我自横刀冲天笑”是一种无畏的潇洒。,她的眼神像星空，深邃而遥远。,D
以下哪个句子使用了比喻修辞手法？,太阳已经快落下去了，这时，它真像个大火球，旁边的云也被染成了红色。,若无每日闻鸡起舞坚持不懈的毅力，那么祖逖又怎能北伐中原而名垂千古，若无长年笔走龙蛇墨染池水的工夫，那么王羲之又怎能挥毫盖世被尊为书圣，若无半生钻研演算草稿盈筐的血汗，那么陈景润又怎能摘取明珠享誉世界。,秋天的高粱，在风中摇曳着曼妙的身姿，低着那涨红的脸不时地眺望下远方，似是等着远归的情人。,那点薄雪好像忽然害了羞，微微露出点粉色。,A
以下哪个句子使用了排比修辞手法？,风儿拂过麦浪，如同音符在大地上跳跃，伴随着麦穗轻轻摇曳，唤起人们内心深处的宁静和安宁。,感知初心、坚守初心、践行初心，认清使命、扛起使命、不辱使命。,春天的脚步近了，小草轻轻地伸了个懒腰，从土里钻出来。,春天的雨是连绵的柔和的，它滋润着大地，抚摸着大地，小声地呼唤着大地，在人们不知不觉的时候，他们竟悄悄地汇成了小河，积成了深潭。,B
以下哪个句子使用了比喻修辞手法？,学出信念坚定之魂，学出奉公为民之志，学出党性操守之律，学出奋发向上之行。,让倾听的过程成为享受，让倾听的过程在我们心中沉浸，让倾听成为人与人之间的纽带。,月光如银河洒满夜空，明亮而神秘，仿佛是宇宙向人间洒下的爱的光芒。,风儿轻轻地吹过，树叶沙沙作响，仿佛在低语着什么。,C
以下哪个句子使用了反问修辞手法？,明天早上你们班有考试吗？,每个花朵都有它的花期，那么玫瑰的花期是多久？,发展中国家的人民生活水平要不要提高？,人非木石，怎么会有人能断情绝爱呢？,D
以下哪个句子使用了比喻修辞手法？,春天是个害羞的小姑娘，遮遮掩掩，躲躲藏藏。,春天来了，她用温柔的大手拂醒了大地。,秋天的高粱，在风中摇曳着曼妙的身姿，低着那涨红的脸不时地眺望下远方，似是等着远归的情人。,“采菊东篱下”是一种清静的潇洒，“胜似闲庭信步”是一种喜悦的潇洒，“明月松间照”是一种怡然的潇洒。,A
以下哪个句子使用了拟人修辞手法？,思念是一首诗，让你在普通的日子里读出韵律来。,风儿清唱着歌，唤醒了沉睡中的大地。,漫山遍野的树，像绵延不绝的绿色画卷，像鳞次栉比的天然屏障，叫人目不暇接。,如果忘记是春天里消逝的冰层，那么铭记就是灼灼其华的桃花，如果忘记是夏季里落英缤纷的桃瓣，那么铭记就是映日别样红的荷花，如果忘记是秋季里已无挈雨盖的荷花，那么铭记就是犹有傲霜枝的金菊。,B
